id,text_snippet,labels,cleaned_text,extracted_entities
1,The renewal cost is higher than we expected. Can it be negotiable?,"Objection, Pricing Discussion",renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
2,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
3,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
4,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Competition",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
5,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
6,The renewal cost is higher than we expected. Can it be negotiable?,"Pricing Discussion, Objection",renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
7,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
8,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Pricing Discussion",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
9,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
10,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
11,How secure is the data pipeline of each of the competitors?,"Security, Competition",secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
12,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
13,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
14,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
15,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
16,CompetitorY is offering a discount for first-time customers.,Competition,competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
17,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
18,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
19,Can we get a discount on renewal cost?,"Pricing Discussion, Objection",get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
20,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
21,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
22,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
23,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
24,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
25,Trends show that CompetitorZ is more secure compared to CompetitorY.,Security,trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
26,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
27,We are evaluating pricing models from multiple competitors.,"Pricing Discussion, Competition",evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
28,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
29,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
30,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
31,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
32,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
33,The renewal cost is higher than we expected. Can it be negotiable?,Objection,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
34,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
35,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
36,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
37,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
38,Trends show that CompetitorZ is more secure compared to CompetitorY.,"Competition, Security",trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
39,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
40,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
41,The renewal cost is higher than we expected. Can it be negotiable?,"Pricing Discussion, Objection",renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
42,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
43,Can you adjust the price according to our budget?,"Objection, Pricing Discussion",adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
44,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
45,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
46,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
47,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
48,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
49,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
50,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
51,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection, Competition",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
52,"We love the analytics, but CompetitorX has a cheaper subscription.",Competition,love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
53,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
54,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
55,Can we get a discount on renewal cost?,Objection,get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
56,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
57,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
58,Can you adjust the price according to our budget?,Pricing Discussion,adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
59,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
60,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
61,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
62,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
63,We are evaluating pricing models from multiple competitors.,"Competition, Pricing Discussion",evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
64,Trends show that CompetitorZ is more secure compared to CompetitorY.,Security,trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
65,How secure is the data pipeline of each of the competitors?,"Competition, Security",secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
66,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
67,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
68,We are evaluating pricing models from multiple competitors.,Pricing Discussion,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
69,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
70,"We love the analytics, but CompetitorX has a cheaper subscription.","Objection, Pricing Discussion, Competition",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
71,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
72,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Objection",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
73,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
74,We are evaluating pricing models from multiple competitors.,"Competition, Pricing Discussion",evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
75,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
76,The renewal cost is higher than we expected. Can it be negotiable?,Objection,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
77,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
78,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
79,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
80,Trends show that CompetitorZ is more secure compared to CompetitorY.,Security,trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
81,The renewal cost is higher than we expected. Can it be negotiable?,Pricing Discussion,renewal cost higher expected negotiable,"[{'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'renewal cost'}]"
82,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
83,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
84,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
85,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
86,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
87,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
88,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
89,"We love the analytics, but CompetitorX has a cheaper subscription.","Competition, Pricing Discussion, Objection",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
90,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
91,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
92,Can we get a discount on renewal cost?,"Objection, Pricing Discussion",get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
93,We are evaluating pricing models from multiple competitors.,Competition,evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
94,Can you adjust the price according to our budget?,"Objection, Pricing Discussion",adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
95,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
96,Does your AI engine support all our needs?,Objection,ai engine support needs,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
97,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
98,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
99,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
100,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
101,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
102,How secure is the data pipeline of each of the competitors?,Security,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
103,Can you adjust the price according to our budget?,"Objection, Pricing Discussion",adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
104,The AI engine feature is impressive.,Competition,ai engine feature impressive,"[{'type': 'features', 'value': 'AI engine'}, {'type': 'feature', 'value': 'AI engine'}]"
105,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
106,Our data needs top-notch security. Can you provide us with that?,Security,data needs topnotch security provide us,[]
107,How secure is the data pipeline of each of the competitors?,Competition,secure data pipeline competitors,"[{'type': 'features', 'value': 'data pipeline'}, {'type': 'competitor', 'value': 'competitors'}, {'type': 'feature', 'value': 'data pipeline'}]"
108,CompetitorY is offering a discount for first-time customers.,Competition,competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
109,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
110,We are evaluating pricing models from multiple competitors.,"Competition, Pricing Discussion",evaluating pricing models multiple competitors,"[{'type': 'pricing_keywords', 'value': 'pricing model'}, {'type': 'competitor', 'value': 'competitors'}]"
111,CompetitorY is offering a discount for first-time customers.,"Pricing Discussion, Competition",competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
112,Can we get a discount on renewal cost?,"Pricing Discussion, Objection",get discount renewal cost,"[{'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'pricing_keywords', 'value': 'renewal cost'}, {'type': 'pricing', 'value': 'discount'}, {'type': 'pricing', 'value': 'renewal cost'}]"
113,Can you adjust the price according to our budget?,"Pricing Discussion, Objection",adjust price according budget,"[{'type': 'pricing_keywords', 'value': 'budget'}, {'type': 'pricing', 'value': 'budget'}]"
114,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
115,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
116,Trends show that CompetitorZ is more secure compared to CompetitorY.,Competition,trends show competitorz secure compared competitory,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'competitors', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorZ'}, {'type': 'competitor', 'value': 'CompetitorY'}]"
117,Our compliance team is worried about data handling. Are you SOC2 certified?,Security,compliance team worried data handling soc2 certified,[]
118,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
119,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
120,"We love the analytics, but CompetitorX has a cheaper subscription.","Pricing Discussion, Objection, Competition",love analytics competitorx cheaper subscription,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
121,CompetitorY is offering a discount for first-time customers.,Pricing Discussion,competitory offering discount firsttime customers,"[{'type': 'competitors', 'value': 'CompetitorY'}, {'type': 'pricing_keywords', 'value': 'discount'}, {'type': 'competitor', 'value': 'CompetitorY'}, {'type': 'pricing', 'value': 'discount'}]"
122,CompetitorX's analytics include advanced prediction. Can you provide that?,Competition,competitorxs analytics include advanced prediction provide,"[{'type': 'competitors', 'value': 'CompetitorX'}, {'type': 'features', 'value': 'analytics'}, {'type': 'competitor', 'value': 'CompetitorX'}, {'type': 'feature', 'value': 'analytics'}]"
